"municipality","party","year","support"
54,4,1999,0.30718582484
54,4,2003,0.33942031886
54,4,2007,0.36411781877
54,4,2011,0.30673978929
55,4,1971,0.25579450418
55,4,1975,0.20417869883
55,4,1979,0.29578751694
55,4,1983,0.27204692557
55,4,1987,0.30215684607
55,4,1991,0.3397668355
55,4,1995,0.37614260986
55,4,1999,0.41754364984
55,4,2003,0.38354178968
55,4,2007,0.38484801316
55,4,2011,0.33943360167
56,3,1971,0.29268799815
56,3,1975,0.31227988338
56,3,1979,0.31253113537
56,4,1983,0.22952588401
56,4,1987,0.23389938555
56,4,1991,0.23616782169
56,4,1995,0.30723746017
56,4,1999,0.42033159104
56,4,2003,0.42913670246
56,4,2007,0.42803481685
56,4,2011,0.39462571977
57,4,1971,0.3044770206
57,4,1975,0.28309313694
57,4,1979,0.314825415
57,4,1983,0.31249344932
57,4,1987,0.31293103448
57,4,1991,0.26201966041
57,4,1995,0.36861094408
57,4,1999,0.44634125044
57,4,2003,0.39897086828
57,4,2007,0.38429063043
57,4,2011,0.34397549353
58,3,1971,0.28136350936
58,3,1975,0.24615618816
58,4,1979,0.31123251061
58,4,1983,0.2376783519
58,4,1987,0.26085388248
58,4,1991,0.28565965583
58,4,1995,0.35430202426
58,4,1999,0.46159002547
58,4,2003,0.48045254557
58,4,2007,0.47884590503
58,4,2011,0.42309775569
59,4,1971,0.41735838066
59,4,1975,0.3669111868
59,4,1979,0.3926340728
59,4,1983,0.36685833769
59,4,1987,0.3777443609
59,4,1991,0.33968719453
59,4,1995,0.35508744038
59,4,1999,0.44646074646
59,4,2003,0.47934683354
59,4,2007,0.50897289042
59,4,2011,0.44948695927
60,4,1971,0.28872891524
60,4,1975,0.30265037296
60,4,1979,0.40498109485
60,4,1983,0.36030374444
60,4,1987,0.41584437553
60,4,1991,0.44506531205
60,4,1995,0.51645524705
60,4,1999,0.57564307513
60,4,2003,0.56143629447
60,4,2007,0.57766564283
60,4,2011,0.52972910927
61,4,1971,0.32848910048
61,4,1975,0.30132689988
61,4,1979,0.42679037402
61,4,1983,0.35011231366
61,4,1987,0.42719421571
61,4,1991,0.40395667551
61,4,1995,0.49319446088
61,4,1999,0.49231408392
61,4,2003,0.47072649573
61,4,2007,0.42811472415
61,4,2011,0.36858006042
62,8,1971,0.24084257141
62,3,1975,0.23870803662
62,3,1979,0.27126011001
62,3,1983,0.25261354397
62,3,1987,0.18758149399
62,4,1991,0.2421132414
62,4,1995,0.29538947419
62,4,1999,0.39409294918
62,4,2003,0.40994284498
62,4,2007,0.46110750244
62,4,2011,0.40448387171
63,4,1971,0.36674157303
63,4,1975,0.38653637351
63,4,1979,0.40458937198
63,4,1983,0.38589352323
63,4,1987,0.37429977932
63,4,1991,0.36787018256
63,4,1995,0.41418198671
63,4,1999,0.53066839294
63,4,2003,0.48731986659
63,4,2007,0.48548913043
63,4,2011,0.40389042357
64,4,1971,0.35158926326
64,4,1975,0.26162668718
64,1,1979,0.30900397874
64,4,1983,0.28575835476
64,4,1987,0.2849751613
64,4,1991,0.33460582213
64,4,1995,0.33251108898
64,4,1999,0.44710642816
64,4,2003,0.45356093979
64,4,2007,0.45596656355
64,4,2011,0.42120950057
65,4,1971,0.65380157626
65,4,1975,0.53819813437
65,4,1979,0.57108231565
65,4,1983,0.47750865052
65,4,1987,0.45033388982
65,4,1991,0.41617246913
65,4,1995,0.46959173302
65,4,1999,0.53505237712
65,4,2003,0.5621592567
65,4,2007,0.51735037932
65,4,2011,0.49396754958
66,8,1971,0.228185806558
66,8,1975,0.205380002886
66,3,1979,0.2296740623
66,3,1983,0.21045177045
66,1,1987,0.1717818528
66,4,1991,0.18876907996
66,4,1995,0.26665031118
66,4,1999,0.39479140005
66,4,2003,0.40266321435
66,4,2007,0.48320541703
66,4,2011,0.40262819047
67,1,1971,0.27201824737
67,1,1975,0.31579919471
67,3,1979,0.28577022476
67,4,1983,0.26250362424
67,4,1987,0.32386399346
67,4,1991,0.34247203374
67,4,1995,0.4314989045
67,4,1999,0.47434887776
67,4,2003,0.45126427406
67,4,2007,0.43958038244
67,4,2011,0.37085188608
68,3,1971,0.3218814849
68,3,1975,0.33408729161
68,3,1979,0.36911911912
68,3,1983,0.2895558772
68,4,1987,0.28464419476
68,4,1991,0.25025890638
68,4,1995,0.3550635735
68,4,1999,0.41613363641
68,4,2003,0.42500587268
68,4,2007,0.44199866882
68,4,2011,0.36664284012
69,1,1971,0.23770883429
69,1,1975,0.27987406952
69,1,1979,0.34151938778
69,1,1983,0.31162072767
69,1,1987,0.267730422
69,1,1991,0.25878652325
69,4,1995,0.24761563013
69,4,1999,0.3327149979
69,4,2003,0.36327727841
69,4,2007,0.38573691296
69,4,2011,0.32656794207
70,4,1971,0.46440251572
70,4,1975,0.41454202077
